count,confidence_lower,confidence_upper,mean,std,min,25%,50%,75%,max,lower_boundary,upper_boundary,IQR,lower_whiskers,upper_whiskers,real_mean,real_std,lower_real,upper_real,macro,macro_mean,macro_std,macro_lower_bound,macro_upper_bound,curr_features,new_var,count_vars,best_in_iter
1000.0,49.03492462673855,50.16673185154632,49.580308624372776,0.2928593788618107,48.69574851834482,49.377447390126626,49.57016189267385,49.77833130714274,50.57702793894663,49.00630424180362,50.15431300694192,0.4008839170161025,48.77612151460248,50.37965718266689,49.580146059297064,0.29125341386111264,49.00928936812928,50.15100275046485,[49.57139157507886],49.571391575078856,1.0,47.61139157507886,51.53139157507886,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'content_he_mean_answered_correctly']",content_he_mean_answered_correctly,15,1
1000.0,49.02487101120385,50.13039847704253,49.579920741595316,0.28524947379818755,48.64783759480557,49.38337852106205,49.5858906678664,49.78576785426178,50.44942485283577,49.02083177295088,50.13900971023978,0.4023893331997286,48.77979452126247,50.38935185406138,49.580017228629075,0.2843292966187857,49.02273180725626,50.137302650001885,[49.58307059503924],49.58307059503925,1.0,47.62307059503925,51.543070595039254,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'rel_lect_clu']",rel_lect_clu,15,0
1000.0,49.021757030622794,50.179887514514895,49.59145933093004,0.2971809707287691,48.60697590763814,49.39268080745643,49.5911967823413,49.79002535131612,50.55009928650386,49.00898462830164,50.173934033558425,0.3973445438597025,48.79666399166686,50.38604216710567,49.591687377236006,0.2955139296198832,49.012480075181045,50.17089467929098,[49.58597488414795],49.58597488414795,1.0,47.62597488414795,51.54597488414795,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'rel_user_content_ema_answ']",rel_user_content_ema_answ,15,0
1000.0,49.01454262341549,50.20330174371295,49.5867813485449,0.2942312898607247,48.71214055230237,49.38956778618043,49.581452678785496,49.77201888171068,50.510942152594005,49.01008802041788,50.16347467667193,0.38245109553025,48.815891142885036,50.345695525006036,49.5865637867443,0.2926457984905753,49.012978021702786,50.16014955178583,[49.57406331655114],49.57406331655114,1.0,47.61406331655114,51.53406331655114,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'rel_ema_chng_timestamp']",rel_ema_chng_timestamp,15,0
1000.0,49.00711927061053,50.167544643417855,49.590119083618966,0.28339228014779794,48.46920623094238,49.40657741091874,49.593691988401496,49.78597707934817,50.55734190687676,49.034670214529285,50.145567952708646,0.3793996684294356,48.83747790827457,50.35507658199232,49.59069642651011,0.2803588794022671,49.04119302288168,50.140199830138556,[49.6001917584872],49.60019175848721,1.0,47.64019175848721,51.560191758487214,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'user_he_ucount_kmean_cluster']",user_he_ucount_kmean_cluster,15,0
1000.0,49.00603359864432,50.208472717779244,49.613651238683566,0.30470889231010123,48.63528402139668,49.410102094037796,49.61667800295096,49.81228498997147,50.61321262297302,49.016421809755784,50.21088066761137,0.4021828959336844,48.80682775013727,50.415559333872004,49.61350722105813,0.3031585327998175,49.01931649677049,50.20769794534577,[49.621283917747895],49.621283917747895,1.0,47.661283917747895,51.581283917747896,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'user_ucount_part']",user_ucount_part,15,0
1000.0,49.00553498880833,50.17148024584333,49.549320989623325,0.30258378691351034,48.234517632272556,49.33801985039806,49.546565193252725,49.74256751001092,50.45406030109349,48.95625676727286,50.14238521197381,0.4045476596128523,48.73119836097879,50.34938899943019,49.55034286053,0.29768479506003925,48.96688066221231,50.133805058847656,[49.5589497191836],49.558949719183595,1.0,47.5989497191836,51.518949719183595,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'rel_user_content_he_ema_answ']",rel_user_content_he_ema_answ,15,0
1000.0,49.00060817383309,50.13478182302782,49.55231641821437,0.2975101344575518,48.42662273597478,49.3532149327332,49.53616099126707,49.76266180708056,50.630598847586576,48.96919655467757,50.135436281751176,0.4094468743473598,48.73904462121216,50.3768321186016,49.55212532960225,0.29451517527301874,48.97487558606714,50.12937507313737,[49.54222307630389],49.54222307630389,1.0,47.58222307630389,51.50222307630389,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp']",timestamp,14,1
1000.0,48.99949064927633,50.12620291848897,49.56242299934903,0.29265889168411385,48.50037369559108,49.36448831212804,49.56236704794712,49.755127894492205,50.47895933210542,48.98881157164817,50.13603442704989,0.39063958236417307,48.77852893858178,50.34108726803847,49.56316423946249,0.28928816999068946,48.99615942628075,50.13016905264424,[49.55926502488492],49.55926502488492,1.0,47.59926502488492,51.51926502488492,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'trend_user_mean_pqet']",trend_user_mean_pqet,15,0
1000.0,48.99933410696598,50.13982193716829,49.58413523330162,0.2909230188726151,48.71041051277052,49.38839986654951,49.5826713998281,49.77932681972503,50.58979124687978,49.01392611631129,50.154344350291936,0.3909269531755229,48.80200943678622,50.36571724948831,49.583834901470134,0.28790825655204183,49.01953471862812,50.14813508431213,[49.56963432418411],49.569634324184115,1.0,47.609634324184114,51.529634324184116,"['mul_user_content_ema_answ', 'rel_content_part_mean_answ', 'abs_chng_timestamp', 'content_he_part_sum_answered_correctly', 'user_ema_prior_question_elapsed_time', 'content_sum_answered_correctly', 'user_sum_answered_correctly', 'rel_lect_part', 'rel_user_he_mean_answ', 'lag_answ_and_part_bool', 'mul_user_content_he_mean_answ', 'prior_question_elapsed_time', 'user_ucount_kmean_cluster', 'timestamp', 'content_id']",content_id,15,0
