count,confidence_lower,confidence_upper,mean,std,min,25%,50%,75%,max,lower_boundary,upper_boundary,IQR,lower_whiskers,upper_whiskers,real_mean,real_std,lower_real,upper_real,macro,macro_mean,macro_std,macro_lower_bound,macro_upper_bound,curr_features,new_var,count_vars,best_in_iter
1000.0,10.783229570457433,12.304441581612325,11.541774499857054,0.3799091524467711,10.429539005767683,11.292575863169725,11.531394033505553,11.797724518315732,12.709575073185107,10.79715256106138,12.286396438652725,0.5051486551460087,10.53485288045071,12.555447501034743,11.541236501319474,0.37779460932152814,10.80075906704928,12.281713935589671,[11.541262682249599],11.541262682249599,1.0,9.581262682249598,13.501262682249598,['user_he_sum_prior_question_elapsed_time'],user_he_sum_prior_question_elapsed_time,1,1
1000.0,10.622663875129268,12.011240452691949,11.28579318546773,0.3497066943772047,10.205668015296386,11.056922311301,11.282422266069458,11.506074507305136,12.408696751343706,10.600368064488409,11.971218306447053,0.4491521960041371,10.383194017294796,12.179802801311345,11.284961877624776,0.3445947662211982,10.609556135831227,11.960367619418323,[11.271615480341257],11.271615480341255,1.0,9.311615480341256,13.231615480341258,['abs_chng_timestamp'],abs_chng_timestamp,1,1
1000.0,10.502493903419284,11.875278750546082,11.173123104737314,0.36219380614705343,10.00310642613913,10.92053995195657,11.173411680193237,11.415567975238837,12.280528516145118,10.46322324468909,11.88302296478554,0.4950280232822664,10.17799791703317,12.158110010162234,11.172956574055963,0.3602190416877242,10.466927252348023,11.878985895763902,[11.165575992006339],11.16557599200634,1.0,9.205575992006338,13.12557599200634,['rel_ema_chng_timestamp'],rel_ema_chng_timestamp,1,1
1000.0,10.171353321874776,11.637997005251055,10.944563850406444,0.3841493255573542,9.677119878661047,10.692526042644824,10.947323627651972,11.21444202398736,12.278137622630437,10.191631172314029,11.697496528498856,0.521915981342536,9.90965207063102,11.997315996001165,10.944542930505616,0.3815717237648831,10.196662351926443,11.692423509084787,[10.953722850065306],10.953722850065308,1.0,8.993722850065307,12.913722850065305,['rel_user_he_mean_answ'],rel_user_he_mean_answ,1,1
1000.0,10.108451674556074,11.300100905183587,10.709346770227507,0.3139789102007193,9.4480920443889,10.495160846464367,10.712209155260332,10.934498336650428,11.713579370566606,10.093948106234096,11.324745434220915,0.4393374901860589,9.836154611185279,11.593504571929516,10.709790962050986,0.3117745102555417,10.098712921950124,11.320869002151847,[10.703052076941933],10.703052076941932,1.0,8.743052076941932,12.663052076941936,['lag_answ_corr'],lag_answ_corr,1,1
1000.0,10.081594069732967,11.361516730774676,10.7220650704238,0.325457756230081,9.701210603556287,10.49690562167243,10.72890035319235,10.950024084160821,11.808522268045651,10.084167868212845,11.359962272634759,0.4531184624883888,9.817227927939848,11.629701777893402,10.721933779040619,0.3241608027891362,10.086578605573914,11.357288952507329,[10.714040963376448],10.714040963376448,1.0,8.754040963376447,12.674040963376449,['user_ucount_part'],user_ucount_part,1,1
1000.0,10.053595744555713,11.49120944457338,10.768226803032057,0.3676194718427135,9.336404493354733,10.520346525319084,10.76095212631818,11.02518949670132,11.89438681326074,10.047692638220338,11.488760967843776,0.5048429713822369,9.76308206824573,11.782453953774676,10.768432783328645,0.3655774252983212,10.051901029743934,11.484964536913353,[10.761617676784653],10.76161767678465,1.0,8.801617676784652,12.721617676784652,['user_he_ucount_kmean_cluster'],user_he_ucount_kmean_cluster,1,1
1000.0,9.922053267090593,11.072059886065944,10.4925667916887,0.3052443873597295,9.630343477830873,10.276180627019317,10.487236848966264,10.685003370761489,11.44842854760275,9.894287792463633,11.09084579091377,0.4088227437421725,9.662946511406057,11.298237486374743,10.49219842120545,0.30389248429063204,9.896569151995813,11.087827690415086,[10.490015108352214],10.490015108352212,1.0,8.530015108352213,12.450015108352215,['lag_answ_and_part_bool'],lag_answ_and_part_bool,1,1
1000.0,9.49293081740201,10.968310288613159,10.188805878735103,0.3717301628847383,9.000826923045068,9.932182608254426,10.182227033101977,10.436904090588722,11.478594218120255,9.460214759481016,10.917396997989194,0.5047214823342969,9.17510038475298,11.193986314090168,10.188372788853279,0.36838873771354574,9.466330862934731,10.910414714771829,[10.172954070185703],10.172954070185703,1.0,8.212954070185702,12.132954070185704,['rel_user_he_ema_answ'],rel_user_he_ema_answ,1,1
1000.0,9.056954320733789,10.50254852536765,9.790321005530906,0.3766907055546023,8.540603841662374,9.535983698225575,9.794969319152504,10.037860333847359,11.152200797244085,9.052007222643883,10.528634788417929,0.5018766356217839,8.7831687447929,10.790675287280038,9.789655052816526,0.3718952049614713,9.060740451092043,10.518569654541013,[9.77460994647894],9.77460994647894,1.0,7.8146099464789405,11.734609946478939,['mean_chng_timestamp'],mean_chng_timestamp,1,1
1000.0,8.89850708511477,10.344428678096707,9.600693769921863,0.3748244306994688,8.234595480199381,9.346358894958913,9.588696888512892,9.863894922113056,10.770185060656011,8.866037885750906,10.335349654092825,0.5175360271541454,8.570054854227697,10.640198962844275,9.601159033383272,0.3725087490007379,8.871041885341826,10.331276181424716,[9.595126512502405],9.595126512502404,1.0,7.635126512502405,11.555126512502403,['rel_user_he_mean_pqet'],rel_user_he_mean_pqet,1,1
1000.0,8.427412643424281,9.868827195139307,9.134875323716827,0.3718730763709677,7.78958316729268,8.875843052564148,9.12973746972907,9.374771776079882,10.494873180682873,8.406004094029733,9.863746553403924,0.4989287235157356,8.127449967290543,10.123164861353484,9.13440198448034,0.3680621044734108,8.413000259712456,9.855803709248226,[9.14722867198643],9.14722867198643,1.0,7.1872286719864285,11.10722867198643,['ema_chng_timestamp'],ema_chng_timestamp,1,1
1000.0,8.383546686086385,9.822118803127488,9.070707837667083,0.3746432860824589,7.633951496161483,8.815130582003192,9.059826732062216,9.315899956119312,10.468704938879704,8.336406996945463,9.805008678388702,0.5007693741161177,8.063976520829018,10.067054017293488,9.070613672499283,0.370660385158752,8.344119317588131,9.797108027410438,[9.07000633870818],9.07000633870818,1.0,7.110006338708182,11.030006338708178,['rel_chng_timestamp'],rel_chng_timestamp,1,1
