count,confidence_lower,confidence_upper,mean,std,min,25%,50%,75%,max,lower_boundary,upper_boundary,IQR,lower_whiskers,upper_whiskers,real_mean,real_std,lower_real,upper_real,macro,macro_mean,macro_std,macro_lower_bound,macro_upper_bound,curr_features,new_var,count_vars
1000.0,11.945396606322877,13.352959348235128,12.647569975618705,0.3538005294160197,11.489737526938493,12.414470945689267,12.640219771814321,12.873397666873155,13.722860751619304,11.954120937963307,13.341019013274103,0.45892672118388766,11.726080863913435,13.561787748648985,12.647863915665887,0.3487036957852253,11.964404671926845,13.33132315940493,[12.674942164655922],12.674942164655922,1.0,10.714942164655923,14.634942164655921,['abs_chng_timestamp'],abs_chng_timestamp,1
1000.0,15.27653138687468,16.682983270592054,15.955828391839718,0.35737412510606936,14.95099918173215,15.704423779219256,15.954733083163974,16.19627847570839,16.974883925411156,15.255375106631822,16.656281677047616,0.49185469648913305,14.966641734485556,16.934060520442088,15.955794062855869,0.3571928192628402,15.255696137100703,16.655891988611035,[15.965741635986674],15.965741635986674,1.0,14.005741635986674,17.925741635986675,['content_cl_count_answered_correctly'],content_cl_count_answered_correctly,1
1000.0,15.237397018967114,16.607604525606323,15.928617650511695,0.35199795683081336,14.798859760879335,15.689087650841213,15.943898638717425,16.169837928100662,16.90101062970757,15.2387016551233,16.61853364590009,0.48075027725944963,14.967962234952038,16.89096334398984,15.929064762124499,0.35064838849044216,15.241793920683232,16.616335603565766,[15.938791409990571],15.938791409990571,1.0,13.97879140999057,17.898791409990572,['content_cl_mean_answered_correctly'],content_cl_mean_answered_correctly,1
1000.0,15.265015882708255,16.695904167753373,15.969833811614716,0.3647949239722213,14.905532710157177,15.70997741853734,15.96092630229441,16.224709845957427,17.101599721292903,15.254835760629163,16.68483186260027,0.5147324274200873,14.93787877740721,16.99680848708756,15.969707921779046,0.364241098326763,15.25579536905859,16.683620474499502,[15.973468025972458],15.973468025972458,1.0,14.013468025972458,17.93346802597246,['content_cl_sum_answered_correctly'],content_cl_sum_answered_correctly,1
1000.0,24.682920995206015,25.99883868893511,25.32910551743496,0.3375673304838338,24.423021388243814,25.10749237798243,25.331625826272322,25.556561396300918,26.602383355347015,24.667473549686648,25.990737485183274,0.449069018318486,24.4338888505047,26.230164923778645,25.328391023648404,0.3353399071013584,24.671124805729743,25.985657241567065,[25.354317579093898],25.354317579093898,1.0,23.394317579093897,27.3143175790939,['content_count_answered_correctly'],content_count_answered_correctly,1
1000.0,17.93427641507663,19.23164821526562,18.5857682947894,0.34101601989113767,17.41948882465674,18.34957102038432,18.581408558275612,18.819620760803172,19.64101720017166,17.91737689580277,19.254159693776028,0.47004974041885106,17.644496409756044,19.52469537143145,18.585816017116112,0.3386810106180804,17.922001236304673,19.24963079792755,[18.59888271968053],18.59888271968053,1.0,16.63888271968053,20.558882719680533,['content_he_cl_count_answered_correctly'],content_he_cl_count_answered_correctly,1
1000.0,17.911195983278393,19.216465326991816,18.562388778476038,0.33946219643237774,17.543207073008027,18.31933177879658,18.56383168097817,18.788330430306644,19.619912865255905,17.89704287346858,19.227734683483497,0.4689986515100628,17.615833801531487,19.491828407571738,18.562251443154963,0.33840894696057006,17.898969907112246,19.22553297919768,[18.56583668522731],18.56583668522731,1.0,16.60583668522731,20.52583668522731,['content_he_cl_mean_answered_correctly'],content_he_cl_mean_answered_correctly,1
1000.0,17.884343772572066,19.222384599624974,18.56449135546264,0.3320200952048763,17.605137182367734,18.359568304900066,18.57187132791023,18.778756976759894,19.463389772750972,17.913731968861082,19.215250742064196,0.41918867185982833,17.730785297110323,19.407539984549636,18.56463273737672,0.33114963080857485,17.915579460991914,19.213686013761524,[18.582949473932374],18.582949473932374,1.0,16.622949473932373,20.542949473932374,['content_he_cl_sum_answered_correctly'],content_he_cl_sum_answered_correctly,1
1000.0,23.207500516560064,24.53291134760729,23.906621107282366,0.3321119398347311,22.84125920999496,23.70022162853421,23.911081655928413,24.134542324336117,24.84587005016241,23.255681705206293,24.55756050935844,0.43432069580190813,23.048740584831346,24.78602336803898,23.90733149912885,0.32967172239268855,23.26117492323918,24.55348807501852,[23.905520651018698],23.905520651018698,1.0,21.945520651018697,25.8655206510187,['content_he_count_answered_correctly'],content_he_count_answered_correctly,1
1000.0,37.86744330687455,39.06518007573432,38.492229103860346,0.3117580693345416,37.481787700727075,38.287679389795755,38.49217696259897,38.707976157807856,39.41858900345348,37.881183287964646,39.103274919756046,0.4202967680121006,37.6572342377776,39.338421309826,38.49261532356751,0.3101737904020312,37.884674694379534,39.10055595275549,[38.46982064753259],38.46982064753259,1.0,36.50982064753259,40.429820647532594,['content_he_mean_answered_correctly'],content_he_mean_answered_correctly,1
1000.0,17.950956512926464,19.19291022724774,18.56221255177366,0.3256553835266232,17.506793098983707,18.333666861063058,18.569280465005345,18.786407628174317,19.467827801186345,17.923928000061476,19.20049710348584,0.45274076711125844,17.65455571039617,19.465518778841204,18.562367384039337,0.3251785763096417,17.92501737447244,19.199717393606235,[18.56748851475598],18.56748851475598,1.0,16.60748851475598,20.52748851475598,['content_he_part_count_answered_correctly'],content_he_part_count_answered_correctly,1
1000.0,17.894579719973457,19.249573608025216,18.565237322794925,0.34023724422696183,17.44395579383884,18.340291005307417,18.56836288235405,18.79047497966356,19.624803682877847,17.89837232411008,19.23210232147977,0.4501839743561433,17.665015043773202,19.465750941197776,18.565328427438647,0.3385656880066183,17.901739678945674,19.22891717593162,[18.56683941510129],18.56683941510129,1.0,16.606839415101287,20.52683941510129,['content_he_part_mean_answered_correctly'],content_he_part_mean_answered_correctly,1
1000.0,17.865665650075258,19.19902603668715,18.535530123645135,0.35125305153753594,17.4525354072405,18.29846345251179,18.533170769715912,18.779506946819048,19.8167765844385,17.847074142631563,19.223986104658707,0.4810434943072579,17.576898211050903,19.501072188279934,18.5353387612774,0.34987976623133926,17.849574419463977,19.221103103090826,[18.540743978751806],18.540743978751806,1.0,16.580743978751805,20.500743978751807,['content_he_part_sum_answered_correctly'],content_he_part_sum_answered_correctly,1
1000.0,23.391917385497397,24.81064209188468,24.129721124330313,0.3566096846440148,22.86235342428742,23.891741896501753,24.1378954474873,24.373362783184263,25.233637091540608,23.430766142428045,24.82867610623258,0.48162088668251,23.16931056647799,25.09579411320803,24.130293116297537,0.3536177580543745,23.437202310510962,24.823383922084112,[24.121226247949746],24.121226247949746,1.0,22.161226247949745,26.081226247949747,['content_he_sum_answered_correctly'],content_he_sum_answered_correctly,1
